number of snapshots: 150
fluid nodes: 22243
kinematic viscosity (lattice units): 0.012
relaxation time tau: 0.536
collision frequency omega: 1.86567164179
POD orthogonality spectral-norm error: 1.725970e-14
SVD energy identity relative error: 1.029178e-15
modes for >=90% fluctuation energy: 4
modes for >=99% fluctuation energy: 14

mode, eigenvalue, energy_fraction, cumulative_energy
1, 3.118457340952e+00, 4.234591408583e-01, 4.234591408583e-01
2, 2.766135871834e+00, 3.756169771515e-01, 7.990761180098e-01
3, 6.030028093211e-01, 8.188248985067e-02, 8.809586078605e-01
4, 1.721299104210e-01, 2.337373130801e-02, 9.043323391685e-01
5, 1.200952137651e-01, 1.630787613296e-02, 9.206402153014e-01
6, 1.027383842005e-01, 1.395097099306e-02, 9.345911862945e-01
7, 9.574132922798e-02, 1.300083233049e-02, 9.475920186250e-01
8, 7.331971312880e-02, 9.956173625266e-03, 9.575481922502e-01
9, 6.939068989861e-02, 9.422646749775e-03, 9.669708390000e-01
10, 5.485132513232e-02, 7.448328604804e-03, 9.744191676048e-01
11, 4.686888139043e-02, 6.364382794643e-03, 9.807835503995e-01
12, 3.487414133430e-02, 4.735602354941e-03, 9.855191527544e-01
13, 1.906046299674e-02, 2.588243609739e-03, 9.881073963642e-01
14, 1.751662794818e-02, 2.378604358078e-03, 9.904860007222e-01
15, 1.218495991061e-02, 1.654610626665e-03, 9.921406113489e-01
16, 1.053576812080e-02, 1.430664854102e-03, 9.935712762030e-01
17, 8.840224837112e-03, 1.200424955428e-03, 9.947717011584e-01
18, 8.728008566060e-03, 1.185186970574e-03, 9.959568881290e-01
19, 4.998174602770e-03, 6.787082495420e-04, 9.966355963785e-01
20, 4.533119495479e-03, 6.155578470660e-04, 9.972511542256e-01
21, 4.401435047315e-03, 5.976762546031e-04, 9.978488304802e-01
22, 3.382611267640e-03, 4.593289260180e-04, 9.983081594062e-01
23, 2.430627557695e-03, 3.300578923469e-04, 9.986382172986e-01
24, 2.021224005877e-03, 2.744644827335e-04, 9.989126817813e-01
25, 1.693343081862e-03, 2.299411305735e-04, 9.991426229119e-01
26, 1.107385142073e-03, 1.503731844279e-04, 9.992929960963e-01
27, 8.867156052196e-04, 1.204081978102e-04, 9.994134042941e-01
28, 7.476490337561e-04, 1.015241777851e-04, 9.995149284719e-01
29, 5.743407776973e-04, 7.799043748002e-05, 9.995929189094e-01
30, 5.238128502426e-04, 7.112918833983e-05, 9.996640480977e-01
31, 4.347695821163e-04, 5.903789392806e-05, 9.997230859917e-01
32, 3.379106596039e-04, 4.588530223698e-05, 9.997689712939e-01
33, 2.692960063147e-04, 3.656803444866e-05, 9.998055393283e-01
34, 2.531817384379e-04, 3.437985828186e-05, 9.998399191866e-01
35, 1.980542827480e-04, 2.689403357052e-05, 9.998668132202e-01
36, 1.349907643012e-04, 1.833056117976e-05, 9.998851437814e-01
37, 1.289234806687e-04, 1.750667730595e-05, 9.999026504587e-01
38, 1.134013172230e-04, 1.539890372487e-05, 9.999180493624e-01
39, 9.014105272893e-05, 1.224036392719e-05, 9.999302897263e-01
40, 8.524079989972e-05, 1.157495259518e-05, 9.999418646789e-01
41, 7.627193338534e-05, 1.035705922888e-05, 9.999522217382e-01
42, 6.189884805321e-05, 8.405320371877e-06, 9.999606270585e-01
43, 5.343165746388e-05, 7.255550193733e-06, 9.999678826087e-01
44, 4.601989961935e-05, 6.249098520376e-06, 9.999741317072e-01
45, 3.130618630297e-05, 4.251105372299e-06, 9.999783828126e-01
46, 2.326605968496e-05, 3.159326733758e-06, 9.999815421393e-01
47, 2.079600848608e-05, 2.823915456900e-06, 9.999843660548e-01
48, 1.803944920987e-05, 2.449598897395e-06, 9.999868156537e-01
49, 1.606458285700e-05, 2.181429377128e-06, 9.999889970831e-01
50, 1.445399539269e-05, 1.962725733195e-06, 9.999909598088e-01
51, 1.058456887212e-05, 1.437291567879e-06, 9.999923971004e-01
52, 9.229670571689e-06, 1.253308268600e-06, 9.999936504086e-01
53, 7.878578573945e-06, 1.069841831824e-06, 9.999947202505e-01
54, 6.822562708212e-06, 9.264441443312e-07, 9.999956466946e-01
55, 5.680706070545e-06, 7.713900333065e-07, 9.999964180847e-01
56, 4.636323515424e-06, 6.295720473071e-07, 9.999970476567e-01
57, 3.170081448758e-06, 4.304692416707e-07, 9.999974781259e-01
58, 2.609636172965e-06, 3.543656914093e-07, 9.999978324916e-01
59, 2.121937163079e-06, 2.881404456726e-07, 9.999981206321e-01
60, 1.890778118166e-06, 2.567510759112e-07, 9.999983773832e-01
61, 1.807752153514e-06, 2.454768785063e-07, 9.999986228600e-01
62, 1.682477015120e-06, 2.284656140651e-07, 9.999988513257e-01
63, 1.422230798065e-06, 1.931264615814e-07, 9.999990444521e-01
64, 1.054978843855e-06, 1.432568690218e-07, 9.999991877090e-01
65, 9.306685886380e-07, 1.263766272487e-07, 9.999993140856e-01
66, 8.870053923488e-07, 1.204475483593e-07, 9.999994345332e-01
67, 7.691961865492e-07, 1.044500920472e-07, 9.999995389832e-01
68, 6.679033207254e-07, 9.069540976451e-08, 9.999996296787e-01
69, 4.987356083609e-07, 6.772391895780e-08, 9.999996974026e-01
70, 3.816331686757e-07, 5.182243528177e-08, 9.999997492250e-01
